Subject Code,Course Number,Description
BIO,312L,Students enrolled in BIO312 must also register for a lab section.
CHEM,100,"This course is designed to cover the basic principles of chemistry and to prepare the student to take further chemistry classes. Topics include writing and dealing with chemical equations, an understanding chemical relations and reactions, stoichiometry, oxidation-reduction, gas laws, chemical bonding, the atomic theory, a smattering of quantum theory, and the consequences of that quantum
theory. The laboratory deals with the safe handling of chemicals, the apparatus of chemistry and the chemical lab, the quantification of data, and chemical identifications based on these data; many laboratory exercises demonstrate and exemplify lecture concepts. Laboratory fee. Prerequisites or co-requisites: Completion of--or concurrent enrollment in--Calculus I or higher (sophomores who have completed MATH 109 may waive the calculus requirement). It is also recommended that students have completed high school chemistry or take PHYS 100 concurrently with CHEM 100; students with questions about their eligibility should contact the instructor."
CHEM,101,"This course is a continuation of Chemistry 100. Topics covered include acid/base theory, equilibria, kinetics, thermodynamics of chemical reactions, electrochemistry, nuclear chemistry, coordination chemistry, and a brief introduction to organic chemistry. The laboratory experiments deal with classic qualitative inorganic analysis. Laboratory fee. Prerequisite: Chemistry 100."
CHEM,102,"This course is designed to give the student a good working knowledge of the chemistry that surrounds her/him in everyday life, as well as the tools by which to intelligently evaluate data presented by both the media and the spoken word. The student is asked to learn chemical concepts only when they are met and as they apply to the particular situation under discussion (e.g., acid rain and pH). While not designed to prepare the student in one semester to take Organic Chemistry (or other advanced chemistry classes), the student should emerge able to understand chemical concepts as presented by society, and cogently discuss these matters with some knowledge, as well as to connect her/his knowledge to issues of concern. Laboratory work done during the semester acquaints the student with various methods of examining scientific and chemical data, as well as some of the problems associated with the collection of said data. Laboratory fee."
CHEM,201,"Quantitative Analytic Chemistry concerns itself with the accurate analysis of the amounts of a given substance in a material. Such analyses are used in basic chemistry, forensic science, environmental science, archeology, and medicine. By employing acid-base and oxidation-reduction titrations, precipitation reactions (gravimetric) and spectrophotometric methods, students will be able to perform such analyses, and gain confidence in their ability to achieve the necessary degree of precision. This course will also provide the underpinnings for additional coursework in analytic chemistry, such as Instrumental Methods of Analysis (at John Jay College.) Prerequisites: CHEM100 & 101."
CHEM,302,"The course deals with the theoretical and practical aspects of the chemistry of carbon compounds. Topics include bonding, classification of functional groups, organic chemical nomenclature, electron delocalization, stereochemistry, beginning of reaction mechanisms, equilibrium, and simple chemical syntheses. The laboratory experiments address the skills and techniques of organic chemistry
labs, including syntheses, separations, and extractions; some laboratory experiments demonstrate lecture topics. Laboratory fee. Prequisites: Chemistry 100 and 101 (with a grade of C or higher)."
CHEM,303,"This course is a continuation of Chemistry 302. Topics include conjugation, aromaticity, aromatic substitution reactions, spectroscopy carbonyl compounds and their addition reactions, acids and acid derivatives, (amines, alcohols), and pericyclic reactions. All topics are aimed toward synthesis, and a understanding of the reaction mechanisms, both of and using the compounds of interest. The laboratory experiments will deal with guided organic analysis, culminating in classical qualitative organic analysis. Laboratory fee. Prerequisite: Chemistry 302."
CHEM,306,"This course examines in detail the chemistry of the main group and transition metal elements, examining the effects of electron configuration in the determination of the geometry and spin-state of inorganic complexes. Students also examine how the size of an atom and the charge on it affect the compounds it forms, and study the applications of group theory to chemistry. This lays the base for further studies both in organometallic chemistry and coordination chemistry. Prerequisite: Chemistry 101 or permission of the instructor."
CHEM,312,"This course is designed to demonstrate how the chemistry of living systems is a natural extension of the basic principles of inorganic and organic chemistry. Recent advances in biochemical research will be incorporated with background from the text and papers of fundamental value to the field. Topics include: Biosynthesis of proteins, nucleic acids, lipids, steroids, carbohydrates; protein structure and enzyme catalysis; bioenergetics and metabolic pathways; and biochemical evolution. Laboratory fee. Prerequisites: Chemistry 303 and Biology 201, or permission of the instructor."
CHEM,01A,"Chemistry is a visual, hands-on science in which students learn by watching and doing, whether in classroom activities and demonstrations or laboratory experiments, with a focus on these fundamental concepts:  the scientific method is the basis for experimental observation and deduction; the arrangement of elements in the periodic table enables us to predict atomic behavior; bonding is based upon attractions between particles of opposite charge; properties of all substances are based on types of chemical bonding; and in chemical reactions, particles rearrange.  Further, challenging and analyzing the assumptions and ideas of others, then answering and defending their own deductions and conclusions, will improve students’ ability to speak with confidence, clarity, and precision, and to read and think critically.  Students will apply these chemistry themes and modes of thought to relevant issues such as global climate change, environmental and ecological pressures, sustainable energy, and GMOs. Academy Chemistry aims to develop students’ scientific literacy and intellectual curiosity, and enhance their skills to pursue scientific inquiry.

"
CHEM,01LA,Students taking CHEM01A will also take a lab section.
CHEM,100L,Students enrolled in CHEM 100 must also enroll in a lab section.
CHEM,101L,Students enrolled in CHEM 101 must also enroll in a lab section.
CHEM,302L,Students enrolled in CHEM302 must also enroll in this lab.
CHEM,303L,Students enrolled in CHEM 303 must also enroll in a lab section.
CHEM,311M,"This course will deal with the various computational methods employed in chemistry (from molecular mechanics to high-level density functional theory). Particular consideration will be given to the advantages and disadvantages of these methods as well as what these techniques can and cannot tell chemists about the molecules of interest. The course will be mixture of lecture and discussions about these methods—the mathematics/physics underlying them and which physical approximations are made in the development of these methods as well as laboratory activities which enable students to explore the techniques in an increasing level of complexity. Upon completion of the course, the student should be more comfortable reading the chemical literature, which is increasing including computational results.  Prerequisites: Completion (with a C or better) of: CHEM 101 or above; PHYS 101 (or above), MATH 221 (or above). Completion of CHEM 303 desirable."
CHIN,100,"This accelerated course is designed for students with little or no previous language background of Chinese. It provides a systematic and efficient study of Chinese grammar, vocabulary, oral/aural skills, and reading and writing Chinese characters. The goal of the course is to enable the students to function successfully in most of the basic communicative situations with a native Chinese. Students are also exposed at the same time to Chinese cultural traditions through such activities as viewing Chinese movies, listening to Chinese music, and tasting Chinese cuisine. The class meets four times per week. No prerequisites."
CHIN,101,"This is the second semester of an accelerated course designed for students with
little or no previous language background of Chinese. It provides a systematic and efficient study of Chinese grammar, vocabulary, oral/aural skills, and reading and writing Chinese characters. The goal of the course is to enable the students to function successfully in most of the basic communicative situations with a native Chinese. Students are also exposed at the same time to Chinese cultural traditions through such activities as viewing Chinese movies, listening to Chinese music, and tasting Chinese cuisine. The class meets four times per week. Prerequisites: CHIN100."
CHIN,203,"Students read, rehearse, and perform a work from the modern Chinese dramatic repertoire as a means of furthering developing skills in reading, writing, speaking, and listening. Each student will perform a role or combination of roles in the final production; written and oral assignments during the rehearsal process and after the final performance will foster learning of both language skills and performance
skills. Students at the 203-level generally read only the portions of the play in which their roles appear, and they will read them in the classroom under the instructor’s guidance. Students at the 303-level must be able to read an appropriate portion of the play on their own; class time for them will be spent on discussion and rehearsal, but not on direct reading. Chinese 303 is suitable for both native and nonnative speakers of Chinese. Prerequisite for Chinese 203:
Chinese 100 or equivalent language level, plus permission of the instructor. Prerequisite for Chinese 303: Chinese 205 or equivalent language level, plus instructor’s permission."
CHIN,204,"This course continues to develop the four skills--speaking, listening, writing, and reading--of Mandarin Chinese.  By the end of the intermediate sequence, students will be familiar with all major grammatical concepts and able to converse comfortably on a wide range of subjects.  Students will be able to write and recognize nearly 2000 characters in traditional and/or simplified forms.  In addition to the linguistic components, each student will select one or more research topics within Chinese culture for oral, written, and web-based projects.  Prerequisite:  CHIN 101, or permission of the instructor."
CHIN,205,"This course continues to develop the four skills--speaking, listening, writing, and reading--of Mandarin Chinese. By the end of the intermediate sequence, students will be familiar with all major grammatical concepts and able to converse comfortably on a wide range of subjects. Students will be able to write and recognize nearly 2,000 characters in traditional and/or simplified forms. In addition to the linguistic components, each student will select one or more research topics within Chinese culture for oral, written, and web-based projects. Prerequisite: Chinese 204 or permission of the instructor."
CHIN,300,"This course develops the four skills--speaking, listening, writing, and reading--of Mandarin Chinese at an advanced undergraduate level.  Students in this course read authentic Chinese literary texts in a variety of genres: drama, essays, fiction, and poetry.  They will discuss both language and content elements of the texts in this course taught exclusively in Chinese.  They will also develop their writing skills, with the goal of being able to comfortably write short compositions on a variety of topics.  Prerequisite: Chinese 205 or permission of the instructor."
CHIN,303,"Students read, rehearse, and perform a work from the modern Chinese dramatic repertoire as a means of furthering developing skills in reading, writing, speaking, and listening. Each student will perform a role or combination of roles in the final production; written and oral assignments during the rehearsal process and after the final performance will foster learning of both language skills and performance
skills. Students at the 203-level generally read only the portions of the play in which their roles appear, and they will read them in the classroom under the instructor’s guidance. Students at the 303-level must be able to read an appropriate portion of the play on their own; class time for them will be spent on discussion and rehearsal, but not on direct reading. Chinese 303 is suitable for both native and nonnative speakers of Chinese. Prerequisite for Chinese 203:
Chinese 100 or equivalent language level, plus permission of the instructor. Prerequisite for Chinese 303: Chinese 205 or equivalent language level, plus instructor’s permission."
CHIN,305,"As a continuation of Chinese 205, this course is designed to promote competency in the oral use of the language and to increase fluency by reinforcing previously learned structures and by expanding vocabulary and idiomatic expressions. The course emphasizes the practical application of the language, not grammar acquisition or review. All students are expected to participate in discussions, and the use of English is prohibited in this course. Prerequisite: Chinese 205."
CHIN,306,"As a continuation of Chinese 305, this course is designed to promote competency in the oral use of the language and to increase fluency by reinforcing previously learned structures and by expanding vocabulary and idiomatic expressions. The course emphasizes the practical application of the language, not grammar acquisition or review. All students are expected to participate in discussions, and the use of English is prohibited in this course. Prerequisite: Chinese 305."
CHIN,01A,"China has one of the world's oldest and richest continuous cultures, and the nation is one of the largest trading partners of the United States. Students who select Chinese as their language of study are introduced to basic vocabulary and to fundamental structures of the language while they simultaneously develop listening, speaking, reading, and writing skills in the target language. They become acquainted with pinyin, the Chinese pronunciation system and also acquire a written vocabulary of more than 800 characters. This course is taught immersion-style and pays ample attention to various facets of Chinese culture: students explore features of culture and daily life in China through discussions, multi-media presentations, songs, calligraphy, and films.
"
CHIN,01B,"China has one of the world’s oldest and richest continuous cultures, and the nation is one of the largest trading partners of the United States. Students who select Chinese as their language of study are introduced to basic vocabulary and to fundamental structures of the language while they simultaneously develop listening, speaking, reading, and writing skills in the target language. They become acquainted with pinyin, the Chinese pronunciation system and also acquire a written vocabulary of more than 800 characters. This course is taught immersion-style and pays ample attention to various facets of Chinese culture: students explore features of culture and daily life in China through discussions, multi-media presentations, songs, and films. This two-year sequence at the Academy prepares students for enrollment in Intermediate Chinese at the college level."
CHIN,02A,"China has one of the world’s oldest and richest continuous cultures, and the nation is one of the largest trading partners of the United States. Students who select Chinese as their language of study are introduced to basic vocabulary and to fundamental structures of the language while they simultaneously develop listening, speaking, reading, and writing skills in the target language. They become acquainted with pinyin, the Chinese pronunciation system and also acquire a written vocabulary of more than 800 characters. This course is taught immersion-style and pays ample attention to various facets of Chinese culture: students explore features of culture and daily life in China through discussions, multi-media presentations, songs, and films. This is a two-year course sequence."
CHIN,100L,Students enrolled in CHIN100 must also register for a lab section.
CHIN,101L,Students enrolled in CHIN101 must also register for a lab section.
CMPT,100,"The first half of this course concentrates on data types and control structures, functions, and iteration. Specific applications include HTTP requests and data visualization. The second half of the course covers more advanced topics including recursion, functional programming, regular expressions, objects, and algorithms for searching and sorting. Both halves of the course are taught in the Python programming language. Throughout the course the students will use the pair programming approach."
CMPT,120,"This course is focused on the history of video games, video game culture,
and the video game industry. We will concentrate on the period ranging from
the mid-1970s to the early-1990s, which coincides with the first four
generations of home consoles. Students will learn about important
historical events, including the development of the very first video games,
the video game industry crash of 1983, the ""bit wars"" between Nintendo and
Sega, and the move towards three-dimensional graphics. Along the way we
will investigate specific consoles and games, influential individuals and
game studios, the differences between American and Japanese gaming culture,
how personal computers dominated video gaming in the United Kingdom, and
the role of retro video games in today's video game culture.  The lab
component allows students to experience the games on the hardware that they
were originally designed to be played on, and to view original box art and
advertisements.  Students will review classic games, design 8-bit graphics,
compose chiptunes, and write a final paper on the topic of their choice.
No programming experience is necessary, although students will have the
opportunity to write BASIC programs on a vintage computer. No prerequisite.
"
CMPT,121,"In this hands-on experiential course, students immerse themselves in a specific topic related to video game history and culture in weekly lab sessions supervised by Andrey Barsky, an authority on vintage video games. Students choose from a list of pre-designed topics, and then play a self-designed sequence of games in the Simon's Rock video game lab with the object of deepening their understanding of the particulars of their chosen topic. The course culminates in a recorded group discussion, facilitated by the lab instructor, for which each student prepares a written plan for the segment on their topic.  This course is graded Pass/Fail. Prerequisite: CMPT 120 or permission of the instructor.


"
CMPT,200,"Programming Projects is intended for those interested in furthering their coding skills and meets the Columbia 3-2 ""Programming in JAVA"" requirement.  CMPT 200 is designed for students with prior coding experience in at least one object-oriented imperative (procedural) programming language (e.g. Python). After successfully completing this course, students will know the fundamentals of Java syntax and will have engaged in cooperative problem solving and software development (i.e., group work).  Prerequisite: CMPT 100 or equivalent.
"
CMPT,220,"This is a hardware and low level programming course focused on early generation video game consoles such as the Atari 2600 (VCS) and Nintendo Entertainment System (NES). Students will work within the specifications and limitations of an early microprocessor like the MOS Technology 6502, and will learn about the overall architecture design of the VCS and NES. Programming will be done in assembly language. Prerequisites: CMPT 100 or permission from the instructor."
CMPT,240,"This course gives an introduction to the background and theory of robotics, as well as to the practical electronic, mechanical, and programming aspects of building and controlling robots. Topics include sensors, feedback, control, and mechanical construction. For ease of prototyping we use an off the shelf robot controller, the Handy Board, an 8-bit microprocessor that can run Interactive C, and the LEGO Technic system. Along with a variety of sensors, these materials will allow the class to work through a series of projects that introduces robotics. In a broader sense, this course serves as an introduction to solving engineering problems. Course prerequisite: permission of the instructor. No previous programming or robotics experience is required."
CMPT,242,"The course introduces software techniques in a Unix-style environment, using scripting languages and a machine-oriented programming language (typically C). By the end of the course students should be able to use existing and create new software tools, implement forks and pipes, signals and sockets, and feel comfortable with shell scripting. Prerequisites: CMPT 100 - Introduction to Computer Science is required."
CMPT,243,"This is the second course in the ACM computer science curriculum and lays the foundation for further work in the discipline. Topics covered include algorithmic analysis, asymptotic notation, central data structures such as lists, stacks, queues, hash tables, trees, sets, and graphs, and an introduction to complexity theory. It is not a language course and is intended for students who already have competence in a high level language such as C++ or Java. Offered yearly. Prerequisite: Computer Science 100 or Computer Science 242 or permission of the instructor."
CMPT,244,"This is a course on computer networking covering the Internet protocol stack, implementation technologies, and management and security issues. Topics will include service paradigms and switching alternatives, application layer protocols such as HTML, SMTP, and DNS, transport layer protocols like TCP and UDP, network layer (IP) and routing, data link protocols such as Ethernet, ATM , and Token Ring, and physical media. We will also look at issues of network management and security, as well as new technologies involving multimedia and wireless networks. Prerequisite: Computer Science 242 or permission of the instructor."
CMPT,250,"An introduction to low level computer organization using a virtual computer.  Students will learn about the key components of a computer system including the CPU, memory devices and input/output units and display.  Students will interact with the computer in a variety of ways including using switch and display panels, writing and debugging machine language and assembly language programs.  Other topics include: binary arithmetic, simple logic gates, CPU components, ASCII and keyboard input, memory mapped displays, machine language vs assembly language and hardware interrupts.  Prerequisites: experience programming in any high level language is strongly recommended."
CMPT,252,"The mathematical foundations of computer science, including propositional
and predicate logic, sets, algorithm growth and asymptotic analysis,
mathematical induction and recursion, permutations and combinations,
discrete probability, solving recurrences, order relations, graphs, and trees.
This is a required course for CMPT 243 (Algorithms and Data Structures). Prerequisite: A 200-level Math course."
CMPT,260,"The course covers computer algorithms commonly used in the physical and biological sciences: minimizing a function, special functions, Fast Fourier Transforms, numerical solution to differential equations, etc. The end of the semester is devoted to an independent project, with a topic chosen by the student and subject to approval of the instructor. In recent years these projects have ranged from bioinfomatics to quantum mechanics. Requirements: The student should have a laptop with compiler installed (one may be available as a loan from ITS, though the student is responsible for this arrangement). The student should already be fluent in a programming language (a prior programming course is not required). The student should be taking or have completed vector calculus (MATH 221)."
CMPT,265,"Cognitive science is the modern, empirically informed study of how the mind works. It is an interdisciplinary field that draws upon the resources of philosophy, psychology, artificial intelligence, neuroscience, linguistics, and anthropology, and covers a broad range of cognitive phenomena, including perception, reasoning, memory, attention, language processing, and problem-solving. We will explore representation-computation models of cognition, connectionism, embodied minds, emergence, and neural simulations. The readings will be taken from classic literature in the field and recent research. Prerequisite: sophomore standing."
CMPT,312,"An examination of the design and implementation of modern programming languages, covering such paradigms as imperative languages, object-oriented languages, functional languages, and logic-oriented languages. Topics will include syntax, semantics, pragmatics, grammars, parse trees, types, bindings, scope, parameter passing, and control structures. Offered alternate years. Prerequisite: Computer Science 243."
CMPT,316,"This course is an introduction to the principles of centralized and distributed operating systems. It examines the management of memory, processes, devices, and file systems. Topics covered include scheduling algorithms, communications,
synchronization and deadlock, and distributed operating systems. Prerequisite: Computer Science 250."
CMPT,317,"This course introduces advanced computer science students to the various stages of neuroimaging research. Students will learn the foundations of functional magnetic resonance imaging (fMRI) and structural diffusion weighted imaging (DWI), and will gain hands-on experience acquiring electroencephalography (EEG) data via an EEG machine. These raw images will then be quality-controlled for head motion and other artifacts by writing and/or using various computer- and programming-based image processing techniques. Finally, image analysis will be performed on the processed data, including regions of interest (ROI) identification, and connectivity measurements.  Throughout the course, students will be exposed to a number of established and emerging programming environments and tools. Prerequisite: An intermediate (200-level) course in Computer Science; prior coursework in biology not required."
CMPT,320,"The first half of this course studies models of computation and their associated formal languages, including regular and context-free languages, as well as finite automata and pushdown automata.  The second half will focus on computational complexity classes including P, NP, PSPACE, and NPSPACE as well as reductions and the notions of hardness and completeness.  This classic material will be applied to puzzles and games and the newer models involving constraint logic will be introduced.  The course finishes with limitations to computability including the Church-Turing thesis and undecidable problems. Prerequisite: CMPT 243"
CMPT,321,"The course presents an introduction to database management systems (DBMS), with an emphasis on how to use the system for modeling and querying information. The focus is on database design and the use of databases in applications, with a short introduction to the internals of relational database engines. Prerequisite: CMPT 200 or CMPT 243"
CMPT,324,"This course will examine chaos theory and fractal geometry from the perspective of applied computer science and mathematics. Topics include recursion, self-similarity and self-affinity, Cantor sets, Sierpinski gaskets, power laws, fractal and Hausdorff dimensions, predictability and randomness, cellular automata, chaotic systems, sensitivity and mixing, period doubling, chaotic attractors, fractal basins, Rossler and Lorenz attractors, Julia and Mandelbrot sets and fractals in natural systems. Prerequisite CMPT243."
CMPT,328,"Algorithmic trading or statistical arbitrage is automated trading on an electronic network.  Considering algorithms simplifies human behavior in a known context and considering their relation to market structure in the context of profitability may provide an inroad into considering complex market dynamics more generally. This course gives students a hands-on experimental practicum in the emergent interdisciplinary field of algorithmic trading that concerns disequilibrium economic phenomenon. Additionally, the course provides students with theoretical and computational tools for use across a wide range of economics and computer science fields, and gives them practice engaging potentially publishable pseudo-experiments and presenting them to their peers. This course is appropriate for (1) students in economics who are interested in the forefront of research on disequilibrium economics, as pioneered by financial practitioners, (2) computer science students interested in agent-based modeling, complexity science, and statistical search, and (3) students in the natural and social sciences interested in theoretical and applied cellular automata in complex and indeterminate environments. Prerequisite: One course in economics along with Introduction to Statistics (Mathematics 110) and/or Computer Science I (Computer Science 100), equivalent, or instructor’s permission"
CMPT,340,"This interdivisional research seminar will develop the modeling process for problems in economics and population biology, and more generally the social studies and the natural sciences. We shall focus on models as descriptions of systems, stressing intuition, use of visualization, and analogy between systems. We start with simple models to see if and how they fail, and then attempt to formulate hypotheses relative to their failures. We then build upon these simple models to develop purpose-built and more realistic models and study their dynamics, range of applicability and validity.  Representative examples include: (1) logistic (Velhurst) population dynamics, effect of time delays, chaos, predictability; (2) optimization models in economics, stability; (3) Network models, linear – e.g., community matrix, social-economic models (Ostrom), food-energy-water, stability; (4) business and growth cycles; and (5) scaling - why power laws. Students with work together and with professors to pose research questions, guiding the choice of examples and specific content of this seminar. Prerequisites: MATH 211, CMPT 100, and ECON 100 or 101, or permission of instructor.
"
CMPT,352,"This course investigates the theory and application of graph theory, and the broader area of combinatorics. Graphs are sets of elements together with a binary relation defined on the set, and they can be used to model many contemporary problems, including suggested friends on Facebook, the routes provided by Google maps, and the most efficient method for delivering packages from Amazon. Specific graph theory topics may include matchings, connectivity, cycles, graph labeling, planarity, random graphs, vertex and edge coloring, and structural graph theory. Additional topics in combinatorics may include combinatorial designs, error-correcting codes, and partially ordered sets. Prerequisites are:  CMPT/MATH 252 (Discrete Mathematics) or permission of the instructor; CMPT 243 (Algorithms and Data Structures) is recommended but not required; MATH 320 (Modern Algebra I) and MATH 321 (Modern Algebra II) are helpful but not required.

"
CMPT,353,"This course presents algorithms used to analyze biological data. Its main focus is on string algorithms which are used to extract new knowledge from biological sequences - the abstractions of ordered information encoded in macromolecules (nucleic acids and proteins). The algorithmic techniques include discrete algorithms on strings, FM-indexes, dynamic programming, Hidden Markov Models, and construction of phylogenetic trees. Prerequisites: Computer Science 243 (Algorithms and Data Structures)  and Computer Science 252 (Discrete Mathematics) or permission of the instructor."
CMPT,364,"An examination of selected areas and issues in the study of artificial intelligence, including search algorithms and heuristics, game-playing, models of deductive and probabilistic inference, knowledge representation, machine learning, neural networks, pattern recognition, robotics topics, and social and philosophical implications. Prerequisite: Computer Science 243 or permission of the instructor."
CMPT,370,"This version of the course takes an application-driven approach to current topics in Machine Learning. Students will be exposed to fundamental machine learning concepts and algorithms and the Math behind them. Topics include clustering, ranking, optimization, Bayesian classifiers, decision trees, nearest neighbors, kernel methods and support vector machines, perceptron, feature extraction and genetic programming. The students will learn how to apply ML models to data collected from the WEB to generalize collective intelligence, discover new patterns, and predict future behavior. In the final project student will implement a machine learning system for the data of their choice. Prerequisites: Algorithms and data structures (CMPT 243), Statistics (MATH 110), Linear Algebra (MATH 220), or permission of the instructor. Students are expected to have strong programming skills."
CMPT,380,"How do peripheral devices like the Nintendo Wii Remove actually work and how can a programmer obtain its data in their own programs? How are binary digits used to represent images and sounds, and how do these bits change when JPEG and MP3 compression are applied? This course gives upper-year computer science students direct experience programming with computer gadgets and digital media. The course combines the modular courses CMPT 280 and CMPT 281. Prerequisites: CMPT 243 or consent of the instructor. Students with less experience should consider taking CMPT 280 and/or CMPT 281, which are antirequisites for this course (cannot be taken for credit if credit is earned for CMPT 382)"
CMPT,01A,"Computer Science at Bard Academy teaches algorithmic thinking via computer programming. Algorithmic thinking is a way of getting to a solution through the clear definition of the steps needed; no magic or hand-waving. An algorithm is a set of instructions or rules that if followed precisely (whether by a person or a computer) leads to answers to both the original and similar problems. Algorithmic thinking is useful in any discipline that requires problem-solving. Computer programming is the process of writing down an algorithm for a computer to follow. Not only is computer programming fun, but it also tells us, definitively whether we have developed an air-tight algorithm. In this class computer programming is done in JavaScript or Python.
"
CMPT,02A,"CMPT 02 provides an introduction to fundamental concepts of Computer Science, both as a prelude to further study in the discipline and to serve broader educational goals. The course uses Python, a high-level, portable, and well-constructed computer programming language to demonstrate these concepts. The focus is on data types and control structures, functions, recursion, and iteration - all this in context of real-life tasks. By the end of the course students will be able to read and understand the concepts expressed in Python code and to create their own programs.
"
CMPT,243L,Students who register for CMPT243 must also register for the lab.
CMPT,280M,"Have you ever wondered how the Nintendo Wii Remote works and how you can incorporate its functionality into your own personal projects? Do you want to try out the Leap Motion 3D controller and the Occulus Rift? This course teaches students the basics of interfacing with interesting new computer devices, and then allows them to get creative with their own projects. Prerequisites: CMPT 100 or consent of the instructor. This course is immediately followed by CMPT 281, and students can take both courses. However, students concentrating in Computer Science should consider taking CMPT 382 instead of CMPT 280/281, which is an antirequisite (cannot be taken for credit if credit is earned for CMPT 280)."
CMPT,281M,"Many of us use digital media every day, but few of us know how it all works. How are binary digits used to represent images and sounds? How do filters in Instagram actually work? How do JPEG and MP3 compression transform your digital files? In this course students will learn the theory behind these questions, and will also put that theory to use with hand-written assignments and programming challenges. Prerequisites: CMPT 100 or consent of the instructor. This course is immediately preceeded by CMPT 280, and students can take both courses. However, students concentrating in Computer Science should consider taking CMPT 382 instead of CMPT 280/281, which is an antirequisite (cannot be taken for credit if credit is earned for CMPT 281)."
COM,101,"In this introductory media studies course, students will learn the basics of reporting and writing for online media platforms such as blogs, as well as online newspapers and magazines. Students will start their own blogs on a topic of interest to them, develop an archive of posts, and start experimenting with promotion via social media and other channels. The class will create its own publication, to which each member will contribute. No pre-requisites."
COM,205,"It's not enough just to care about an issue, you also have to learn how to communicate your passion in ways that inspire others to stand up and work for positive change. Drawing on the writings and speeches of a variety of inspiring leaders, we will explore the concept and practice of transformational leadership for social and environmental justice. We will learn how to use heartfelt, persuasive rhetorical strategies, in both writing and public speaking, to communicate our vision in a compelling manner. Students will come away from this course more informed about pressing issues of social and environmental justice, along with a toolkit of skills and tactics for inspiring others, and a portfolio of their own efforts to write and speak out on issues they care about."
COM,211,"This class explores a wide range of narrative approaches to environmental themes, including novels, personal narrative and journalism, as well as documentary and feature films. Students will become familiar with contemporary discourse about the most pressing environmental issues of our time, as well as with how writers and cinematographers are using words and images to engage in discussion and invite participation from various audiences. A significant component of the course will involve student research on an environmental topic of interest to them, as background for their own expository and creative writing about the issue. No prerequisites."
COM,215,"In this introductory media studies practicum course, students will learn and practice basic reporting, writing and production techniques such as interviewing, sourcing, writing a lede, and structuring a news or feature story, as well as basic editing, copyediting and proofreading skills. We will analyze the difference between objective and opinion-based reporting, and practice writing both types of stories, for a variety of digital print platforms such as blogs and online newspapers or magazines, as well as radio scripts. We will read widely in the contemporary media, and discuss the history of the media in the U.S. and its current state today. Students will develop an e-portfolio of news and feature stories, with publication in the Simon’s Rock online student newspaper and production of a radio podcast a goal. A special feature of this course will be the opportunity to learn how to produce radio shows on news of interest to the local community for live broadcast, streaming and podcasting at the studios of WBCR-LP, Berkshire Community Radio."
COM,305,"If you want to make a difference in the world, it’s not enough just to care about an issue, you also have to learn how to communicate your passion in ways that inspire others to stand up and work for positive change.  This class will explore successful case studies of contemporary leaders in various social and environmental justice movements, analyzing their leadership strategies and rhetorical approaches to motivating others, particularly through their writings, speeches and other communications approaches, including short video clips.  Students will identify and research the issue(s) they care about most, read and view what leaders working on those issues have produced, and try their own hands at writing persuasively in a variety of genres from op-ed articles to blog posts to essays and scripts, employing a range of passionate rhetorical strategies.  In the second part of the course, students will hone their public speaking skills by studying strategies for effective oral discourse, writing and practicing their delivery live and on camera, in different formats and speech lengths.  The course will culminate in a campus event aimed at raising awareness about the issues the students have worked on during the semester.  Students will come away from this course with a toolkit of skills and tactics for inspiring others, and a portfolio of their own efforts to write and speak out on issues of social and/or environmental justice.

"
COM,101M,"In this half-semester introductory media studies course, students will learn the basics of reporting and writing for online media platforms such as blogs, as well as online newspapers and magazines.  Students will start their own Wordpress blogs on a topic of interest to them, develop an archive of posts, and start experimenting with promotion via social media and other channels.  Each member of the class will also contribute one article to the online Simon's Rock newspaper, and the class as a whole will produce a printed zine for campus distribution.  Final evaluation will be based on class participation (10%), a series of response journals and short assignments (30%), the blog and its promotion (30%), and two polished articles for campus publication (30%).  No pre-requisites."
COM,202M,"In the first part of this half-semester course, students will explore and analyze a successful media campaign associated with a social justice issue and an environmental issue, tracking the different forms of media used in the campaign, and how the synergy necessary for success was established.  In the second half of the course, students will work individually and in small groups to develop their own media campaign for a social or environmental issue about which they feel passionate.  Final evaluation will be based on response journals and an in-class presentation (30%), individual and group work on the media campaign (40%), and an 8-page final report (30%).  Pre-requisites: COM 201m or another media studies course, or permission of the instructor."
COM,203M,"This class is for students who are interested in issues of social and environmental justice, and want to communicate their passion to a variety of audiences.  Students will read works by professionals in a range of genres, from journalism, essays and speeches, to scripts, blog and other media posts, short fiction, and poetry.  Then, employing the writing and rhetorical strategies studied, students will try their hands at writing about what matters to them.  Students will come away from this course with a portfolio of writing in a variety of genres about the pressing social and environmental issues of our time.  No prerequisites."
COM,204M,"A significant aspect of bringing about social change is communicating in ways that inspire others.  This class will explore successful case studies of contemporary leaders in various social and environmental justice movements, analyzing their leadership strategies and rhetorical approaches to motivating others, particularly through speeches and other oral communications.  In the second part of the course, students will apply one or more of these strategies and approaches to an issue they feel passionate about. They will research their topic; interview each other about the topic; and write a speech on the topic to be delivered live and on camera for post-speech review. Students will come away from this course with concrete new skills for inspiring others, and an example of their own efforts to speak out on issues of social and/or environmental justice. No prerequisites. 


"
